'2550','A23HM12PMNQJ6P','itNews_v3','949','1','1',' %s%sMy heart goes out to the souls lost today in Japan. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Japan$$$TOKYO, Japan$$$A powerful earthquake of magnitude 6.7 occurred in Japan before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Takasaki. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','Japan','joh','241','3',NULL,NULL,'wait'
'2551','A3GTO0JMTWNT2P','itNews_v3','948','1','0',' %s%sMy heart goes out to the souls lost today in Nigeria. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Nigeria$$$ABUJA, Nigeria$$$A powerful earthquake of magnitude 6.7 occurred in Nigeria before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Abuja. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','Nigeria','Jeffery','1000','3',NULL,NULL,'wait'
'2554','A3UPM0OTS694DK','itNews_v3','951','1','3',' %s%sMy heart goes out to the souls lost today in Texas. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Texas$$$AUSTIN, Texas$$$A powerful earthquake of magnitude 6.7 occurred in Texas before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Brownsville. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','Texas','Jeffery Smith','67','3',NULL,NULL,'wait'
'2557','A1CK2CWERWUTNK','itNews_v3','953','1','5',' %s%sMy heart goes out to the souls lost today in Russia. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Russia$$$MOSCOW, Russia$$$A powerful earthquake of magnitude 6.7 occurred in Russia before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Taganrog. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','Russia','Jeffrey','582','3',NULL,NULL,'wait'
'2558','AWEHMATCMIO9B','itNews_v3','952','1','4',' %s%sMy heart goes out to the souls lost today in France. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes France$$$PARIS, France$$$A powerful earthquake of magnitude 6.7 occurred in France before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Rennes. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','March','Jerry','50','3',NULL,NULL,'wait'
'2562','AYFAOYFBISRF3','itNews_v3','956','1','8',' %s%sMy heart goes out to the souls lost today in Rwanda. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Rwanda$$$KIGALI, Rwanda$$$A powerful earthquake of magnitude 6.7 occurred in Rwanda before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Kamonyi. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','today','i dont remember','100','3',NULL,NULL,'wait'
'2565','A1S9JH40V29RQG','itNews_v3','958','1','10',' %s%sMy heart goes out to the souls lost today in Jordan. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Jordan$$$Amman, Jordan$$$A powerful earthquake of magnitude 6.7 occurred in Jordan before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Irbid. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','Japan','john','1000','3',NULL,NULL,'wait'
'2567','AJUZTKTM4SLLI','itNews_v3','959','1','11',' %s%sMy heart goes out to the souls lost today in Cuba. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Cuba$$$HAVANA, Cuba$$$A powerful earthquake of magnitude 6.7 occurred in Cuba before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Holguin. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','cuba','bob','3','3',NULL,NULL,'wait'
'2569','A3JP1J70GCBWQI','itNews_v3','954','1','6',' %s%sMy heart goes out to the souls lost today in Indonesia. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Indonesia$$$JAKARTA, Indonesia$$$A powerful earthquake of magnitude 6.7 occurred in Indonesia before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Sukabumi. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','Indonesia ','Jeremy ','250','3',NULL,NULL,'wait'
'2572','A1OWIGU7B1N89T','itNews_v3','955','1','7',' %s%sMy heart goes out to the souls lost today in Mexico. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Mexico$$$MEXICO CITY, Mexico$$$A powerful earthquake of magnitude 6.7 occurred in Mexico before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Pachuca. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','Mexico','I dont know','10','3',NULL,NULL,'wait'
'2574','A1CHHJ7D40O0IW','itNews_v3','957','1','9',' %s%sMy heart goes out to the souls lost today in Haiti. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Haiti$$$PORT-AU-PRINCE, Haiti$$$A powerful earthquake of magnitude 6.7 occurred in Haiti before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Saint-Marc. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','haiti','jon','627','3',NULL,NULL,'wait'
'2576','A1NHIYMZIZTJW9','itNews_v3','961','1','13',' %s%sMy heart goes out to the souls lost today in North Korea. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes North Korea$$$PYONGYANG, North Korea$$$A powerful earthquake of magnitude 6.7 occurred in North Korea before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of South Hwanghae. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','North Korea','Jeffrey Knowls','261','3',NULL,NULL,'wait'
'2579','A3M43ST1JU11T9','itNews_v3','960','1','12',' %s%sMy heart goes out to the souls lost today in Liberia. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Liberia$$$MONROVIA, Liberia$$$A powerful earthquake of magnitude 6.7 occurred in Liberia before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Gbarnga. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','Liberia','Andy Smith','200','3',NULL,NULL,'wait'
'2581','A2F10SDT03ES12','itNews_v3','962','1','14',' %s%sMy heart goes out to the souls lost today in Syria. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Syria$$$DAMASCUS, Syria$$A powerful earthquake of magnitude 6.7 occurred in Syria before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Al-Hasakah. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','Syria','john','211','3',NULL,NULL,'wait'
'2583','A1L7FGEK7RRXDY','itNews_v3','963','1','15',' %s%sMy heart goes out to the souls lost today in Iraq. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Iraq$$$BAGHDAD, Iraq$$$A powerful earthquake of magnitude 6.7 occurred in Iraq before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Ramadi. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','iraq','couldnt read fa','227','3',NULL,NULL,'wait'
'2585','A2ECQ3W5CS8NXT','itNews_v3','964','1','16',' %s%sMy heart goes out to the souls lost today in Yemen. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Yemen$$$SANAA, Yemen$$$A powerful earthquake of magnitude 6.7 occurred in Yemen before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Ibb. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','many largest bu','yamin','10000','3',NULL,NULL,'wait'
'2587','A3AA5G6HENO6VJ','itNews_v3','965','1','17',' %s%sMy heart goes out to the souls lost today in Ukraine. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Ukraine$$$KIEV, Ukraine$$$A powerful earthquake of magnitude 6.7 occurred in Ukraine before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Chernivtsi. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','ukrain','jefri smith','3','3',NULL,NULL,'wait'
'2590','A3BXHV8B5IH80N','itNews_v3','967','1','19',' %s%sMy heart goes out to the souls lost today in Turkey. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Turkey$$$ISTANBUL, Turkey$$$A powerful earthquake of magnitude 6.7 occurred in Turkey before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Tarsus. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'261','Turkey','Tom','632','3',NULL,NULL,'wait'
